day,time(IST),non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs,first_quart,median,third_quart,perc_90
1,12.0,247,0,-154.552673339844,435.986175537109,590.538848876953,174.211174697528,245.034624214597,218.216248940089,47618.331301483,125.259616278326,43030.1601502895,60523.5521810055,-79.1606,287.445,380.988,404.509
1,12.5,247,0,148.485137939453,702.91162109375,554.426483154297,435.356591043202,435.356591043202,95.8607089717091,9189.27552455872,22.0188946128064,107533.077987671,107533.077987671,400.392,405.071,410.953,664.023
1,13.0,247,0,120.029174804688,432.155364990234,312.126190185547,407.046178686474,407.046178686474,32.7111849540639,1070.02162109898,8.03623437999637,100540.406135559,100540.406135559,405.743,410.794,414.429,420.295
1,13.5,247,0,110.672225952148,435.224548339844,324.552322387695,406.391452681198,406.391452681198,33.6050496384048,1129.29936119965,8.26913297922312,100378.688812256,100378.688812256,404.774,409.717,414.247,420.352
1,14.0,247,0,337.093963623047,466.726196289062,129.632232666016,448.509944035457,448.509944035457,13.0288048083053,169.74975473292,2.90490879445815,110781.956176758,110781.956176758,446.749,449.999,453.104,456.466
6,11.5,247,0,186.283920288086,631.817749023438,445.533828735352,576.41756281679,576.41756281679,40.787056271223,1663.58395927191,7.07595654648484,142375.138015747,142375.138015747,565.951,579.912,594.627,603.548
6,12.0,247,0,145.577362060547,711.414123535156,565.836761474609,647.673774194138,647.673774194138,59.6440899020971,3557.41746024944,9.20897097868579,159975.422225952,159975.422225952,639.749,654.61,668.074,682.398
6,12.5,247,0,150.959899902344,728.620788574219,577.660888671875,671.371660610925,671.371660610925,61.037759891861,3725.60813261647,9.09150079947055,165828.800170898,165828.800170898,666.131,679.435,690.766,701.773
6,13.0,247,0,163.473785400391,732.041259765625,568.567474365234,680.124669495864,680.124669495864,61.2136824796163,3747.11492271528,9.00036202553722,167990.793365479,167990.793365479,673.951,688.405,700.512,711.868
6,13.5,247,0,142.634658813477,743.369873046875,600.735214233398,682.807739443142,682.807739443142,63.8143208668346,4072.26754769532,9.3458695882501,168653.511642456,168653.511642456,677.024,690.713,704.052,714.45
6,14.0,247,0,363.84765625,580.186462402344,216.338806152344,546.268781160053,546.268781160053,29.3538216175448,861.646843554641,5.37351256925376,134928.388946533,134928.388946533,542.487,554.04,561.876,569.214
11,11.5,247,0,110.486961364746,710.481567382812,599.994606018066,649.630728408875,649.630728408875,53.9437938620612,2909.93289623256,8.30376266131753,160458.789916992,160458.789916992,640.745,656.55,670.016,681.161
11,12.0,247,0,167.76708984375,691.761169433594,523.994079589844,639.329558090642,639.329558090642,55.0492079462874,3030.4152955136,8.61045876100143,157914.400848389,157914.400848389,633.929,645.512,656.002,669.877
11,12.5,247,0,183.827087402344,709.094116210938,525.267028808594,656.891667539774,656.891667539774,55.4764549610296,3077.63705504315,8.44529740631404,162252.241882324,162252.241882324,652.877,663.354,674.352,686.072
11,13.0,247,0,120.880401611328,791.880310058594,670.999908447266,719.438072359031,719.438072359031,69.9004951272447,4886.07921903396,9.71598499062492,177701.203872681,177701.203872681,712.53,725.738,742.54,752.239
11,13.5,247,0,147.43049621582,761.806762695312,614.376266479492,691.757830229848,691.757830229848,64.1120687908521,4110.35736464296,9.26799321802398,170864.184066772,170864.184066772,686.266,698.272,713.868,722.601
11,14.0,247,0,342.007720947266,608.735656738281,266.727935791016,574.365598979749,574.365598979749,30.2910024332424,917.544828410694,5.27381906002876,141868.302947998,141868.302947998,571.978,580.801,586.669,593.214
16,11.5,247,0,158.173736572266,689.699401855469,531.525665283203,629.525269110676,629.525269110676,47.5351891812798,2259.59421050006,7.55095808122718,155492.741470337,155492.741470337,622.494,636.053,647.491,656.995
16,12.0,247,0,189.387557983398,712.960876464844,523.573318481445,657.279703920187,657.279703920187,55.8613386616234,3120.48915706858,8.49886864427,162348.086868286,162348.086868286,650.924,664.432,677.054,689.072
16,12.5,247,0,169.930740356445,721.397338867188,551.466598510742,671.842849978551,671.842849978551,57.3655828908171,3290.81010040321,8.53854184689895,165945.183944702,165945.183944702,666.648,677.948,689.331,699.958
16,13.0,247,0,174.329650878906,747.05859375,572.728942871094,688.413993248573,688.413993248573,59.6561089444316,3558.85133438989,8.66573159893496,170038.256332397,170038.256332397,682.663,693.892,708.196,719.56
16,13.5,247,0,184.177459716797,732.203674316406,548.026214599609,666.805181155803,666.805181155803,57.8774933094986,3349.80423179106,8.67982057505567,164700.879745483,164700.879745483,659.525,675.671,687.934,697.043
21,11.5,247,0,171.054351806641,691.418334960938,520.363983154297,630.881155407863,630.881155407863,46.2047074856572,2134.87499383514,7.32383699997917,155827.645385742,155827.645385742,622.604,636.677,647.567,658.187
21,12.0,247,0,183.938385009766,709.851989746094,525.913604736328,662.26517211667,662.26517211667,55.3947784084241,3068.5814749184,8.36444082230332,163579.497512817,163579.497512817,657.196,668.413,679.081,690.709
21,12.5,247,0,200.986236572266,726.190368652344,525.204132080078,674.450608288228,674.450608288228,55.4034727615995,3069.5447940453,8.21460787205972,166589.300247192,166589.300247192,669.065,680.932,692.816,701.718
21,13.0,247,0,203.875076293945,749.544677734375,545.66960144043,693.039093388237,693.039093388237,56.5921335838259,3202.66958356959,8.16579239522398,171180.656066895,171180.656066895,689.243,699.324,708.347,719.437
21,13.5,247,0,166.683471679688,759.857055664062,593.173583984375,701.302203159101,701.302203159101,62.414933429545,3895.62391501454,8.89986273369589,173221.644180298,173221.644180298,698.115,709.273,719.324,729.711
21,14.0,205,42,388.758636474609,766.513122558594,377.754486083984,550.888451701839,550.888451701839,50.3597519317615,2536.10461462856,9.14155157476746,112932.132598877,112932.132598877,529.636,537.279,546.552,584.772
26,11.5,163,84,-225.480682373047,298.090728759766,523.571411132812,70.3041215381739,206.074389059851,207.062432793891,42874.8510745244,294.523888875362,11459.5718107224,33590.1254167557,-142.47,139.7,284.459,291.138
26,12.0,247,0,175.1845703125,738.211730957031,563.027160644531,683.657113820435,683.657113820435,58.9801765141609,3478.66122164158,8.62715757970629,168863.307113647,168863.307113647,677.67,691.402,702.588,713.432
26,12.5,247,0,186.505416870117,743.108642578125,556.603225708008,692.188753073997,692.188753073997,58.4482675468702,3416.19997923052,8.4439782194239,170970.622009277,170970.622009277,688.627,700.862,709.955,720.053
26,13.0,247,0,205.575637817383,754.156372070312,548.58073425293,702.950553739602,702.950553739602,57.4421721789875,3299.60314464044,8.17158075676915,173628.786773682,173628.786773682,698.627,711.309,720.256,729.799
26,13.5,247,0,167.661315917969,774.368713378906,606.707397460938,716.137933028372,716.137933028372,63.8451017744755,4076.19702059314,8.91519619753841,176886.069458008,176886.069458008,713.292,724.51,734.264,744.768
26,14.0,205,42,401.178955078125,780.765808105469,379.586853027344,568.343948140958,568.343948140958,49.5249781432908,2452.72346009343,8.71390965018384,116510.509368896,116510.509368896,548.049,554.852,564.258,600.21
31,11.5,247,0,203.71907043457,705.178833007812,501.459762573242,643.963197468746,643.963197468746,43.7561143106066,1914.59753956287,6.79481598988896,159058.90977478,159058.90977478,635.011,650.009,660.873,669.025
31,12.0,247,0,176.570861816406,755.819030761719,579.248168945312,701.089124301184,701.089124301184,60.6194696032679,3674.72009498152,8.64647125480527,173169.013702393,173169.013702393,695.317,709.047,720.185,731.135
